V1	V2	V3	V4	V5	V6
-0.425899985352764	-0.518956838518166	0.273739756668594	0.42042938644667	1.78224450707746	2.40906005950192
0.219554633477318	0.102932324923685	0.929153994993726	1.09673098860541	1.50612447162484	2.15926198819298
0.482271587139986	0.388460448905781	0.648733636797673	0.804472845208641	0.386080613491829	1.08197181481946
2.22285487401826	2.13109725127236	-0.163316538294755	-0.00793946632008824	0.421187263249678	1.13075587144276
1.16284317600409	1.08912401564922	0.78990612748492	0.93255054433712	0.832049407089546	1.54502340464089
-0.587903068926482	-0.702074166165817	-1.43598569064924	-1.26783996518645	-0.313182669139981	0.359526964798536
0.646526053623402	0.602225902810193	0.909715260997587	1.03565253793686	1.45966573412875	2.21807723410988
-0.482402652680246	-0.544710772059733	0.049658349727109	0.195753125164826	0.0707658667373368	0.886154701451581
0.128649815365543	0.0918555590143936	0.650074447419923	0.764667439406312	0.173119078877397	0.883033998872061
-0.553620254173427	-0.648945362713001	-0.525740731928603	-0.376621174278497	0.0504106715460225	0.682212277468339
1.03133850701457	0.893587524427445	0.71640170323255	0.895948988040311	1.11199422210087	1.73244211672107
0.0719287807437185	-0.086511893020444	-0.787804541058193	-0.596040051703516	0.233345223605936	0.824936459657518
-0.187321168044788	-0.130978858807786	0.708058416968748	0.773164755497816	0.179460793369981	1.06136083127152
0.381121751545219	0.268402573833735	-0.0611466280443085	0.111493925269853	0.73163909722735	1.4524719560866
